linear_id,github_number
MAS-180,48
MAS-181,49
MAS-187,50
MAS-188,51
MAS-190,52
MAS-192,53
MAS-202,54
MAS-203,55
MAS-204,56
MAS-240,57
MAS-243,58
MAS-244,59
MAS-245,60
MAS-258,61
MAS-271,62
MAS-272,63
MAS-273,64
MAS-274,65
MAS-275,66
MAS-277,67
MAS-278,68
MAS-297,69
MAS-301,70
MAS-312,71
MAS-314,72
MAS-316,73
MAS-318,74
MAS-320,75
MAS-321,76
MAS-330,77
MAS-333,78
MAS-334,79
MAS-335,80
MAS-341,81
MAS-342,82
MAS-343,83
MAS-346,84
MAS-357,85
MAS-359,86
MAS-360,87
MAS-361,88
MAS-362,89
MAS-363,90
MAS-364,91
MAS-365,92
MAS-366,93
MAS-367,94
MAS-368,95
MAS-369,96
MAS-370,97
MAS-371,98
MAS-184,99
MAS-189,100
MAS-317,101
MAS-338,102
MAS-193,103
MAS-242,104
MAS-348,105
